"timestep","group0_trust_in_sp0.mean","group0_trust_in_sp0.sd","group0_trust_in_sp1.mean","group0_trust_in_sp1.sd","group0_trust_in_sp2.mean","group0_trust_in_sp2.sd","group1_trust_in_sp0.mean","group1_trust_in_sp0.sd","group1_trust_in_sp1.mean","group1_trust_in_sp1.sd","group1_trust_in_sp2.mean","group1_trust_in_sp2.sd","group2_trust_in_sp0.mean","group2_trust_in_sp0.sd","group2_trust_in_sp1.mean","group2_trust_in_sp1.sd","group2_trust_in_sp2.mean","group2_trust_in_sp2.sd","group3_trust_in_sp0.mean","group3_trust_in_sp0.sd","group3_trust_in_sp1.mean","group3_trust_in_sp1.sd","group3_trust_in_sp2.mean","group3_trust_in_sp2.sd"
404,0.640092848739446,0.0490485415801098,0.503872668686372,0.00290680475340819,0.671941617428658,0.0599556321632809,0.512344509462626,0.0106916662185267,0.79542140159769,0.0849142956234674,0.513069865365763,0.00952264969730711,0.638361462013493,0.0450186928548168,0.505557415521247,0.00450566522707217,0.672498754261808,0.0619458386414524,0.515025641191153,0.0128343778331458,0.792668468373469,0.0914628380616795,0.514238452804535,0.0119236713598851
405,0.639534512759767,0.0502372309886478,0.503830927937148,0.0031860116979298,0.672850140707249,0.0596702880731007,0.512151821514615,0.0098048411928784,0.795529698764363,0.0872095584763356,0.513341327458626,0.0091545072673216,0.638639496222879,0.0460837340115786,0.505512944274019,0.00413701312618758,0.673523755707658,0.0612400139745442,0.514420009966918,0.0126827691240558,0.793298573513275,0.093418089358547,0.513900397493022,0.0100718290546275
406,0.639915808339535,0.0504144632913119,0.504033681952072,0.00390043214340216,0.672764165140066,0.0583566160920159,0.51215278373813,0.00875115438586878,0.794885045232347,0.0884314392496738,0.513333506468082,0.00906335136074565,0.639218144122901,0.0477895192857132,0.504854693358758,0.00363052129729865,0.67396357064083,0.0591631535292078,0.516901816102736,0.0119402053725207,0.792100821834383,0.0930770167641338,0.514385162963149,0.0108873285952917
407,0.639963713140133,0.0493452569707659,0.504273737522018,0.0035557319018664,0.672259123954904,0.0575120912304104,0.513654482308167,0.0122519911832319,0.795215619364832,0.0901192782876347,0.512780921121709,0.00938038027751042,0.640945608764943,0.0481756282228913,0.504916879749765,0.00415499767763907,0.672714293734164,0.057373020522437,0.514804052532162,0.0121246765287602,0.795023566760369,0.0898865798996195,0.515580201677472,0.0128458568887244
408,0.641453227856044,0.0483815854079111,0.504248709549821,0.00357707698864805,0.671644005113517,0.0581716738653107,0.512739399572218,0.00982266307552855,0.797150094674886,0.0885417895333292,0.513643746404107,0.00962739213618312,0.64267480194814,0.0475638920987335,0.504491963072112,0.00301439354150155,0.672864259963549,0.0573925662436195,0.516597361920142,0.0138418056406669,0.796418600563854,0.0873493671680516,0.515131024263257,0.00948495603999587
409,0.642988253719681,0.0459474472387365,0.503858043549896,0.00285927614638287,0.67151635187291,0.0592457987976393,0.514233902342355,0.0122313644024348,0.798072151641559,0.0845727370724691,0.512966018983454,0.00842852760320426,0.643949450281496,0.0455970132478781,0.505342482566318,0.00403286527502221,0.672026333669197,0.0575836012025649,0.515211572454555,0.0119211694275135,0.80038420683282,0.0857989674871077,0.514350063257764,0.00930492068834854
410,0.644147349494069,0.0440218704365266,0.505084871727921,0.00413729235347226,0.670889896965199,0.0594903849117832,0.513525817307792,0.0110982896531087,0.797981771603289,0.0793399932494611,0.513253586415307,0.00848599089200616,0.646008944469145,0.044149296888873,0.505080178103211,0.00481587449080087,0.67182598774995,0.0585324284176044,0.513564822746716,0.0108043233909934,0.801127919343777,0.0816362912294569,0.514949419064563,0.0112324611090029
411,0.646144310978076,0.0418216022698095,0.504305078891163,0.00332659256473183,0.671151024898479,0.0615121900847182,0.51361170480326,0.0104300270419161,0.799068726699037,0.0797221982148754,0.513386068922738,0.00885794627661106,0.64720575475154,0.0419823883565106,0.50474548424809,0.00361520883161251,0.672010521907127,0.0607768320792999,0.515128885298907,0.0126270376861075,0.799653168413905,0.0832301178339444,0.514859286050723,0.00958026712610703
412,0.648189984801142,0.0390276748334771,0.50430315023523,0.0033126859662082,0.670659422201381,0.0626369727383006,0.515956269634892,0.0129684711609413,0.797690304665669,0.082929924413154,0.513322560852076,0.00743713474669902,0.649170490568351,0.0397748466709654,0.504797657704572,0.00352282562090512,0.670913066506689,0.062539115921154,0.514037143197522,0.0101101811438923,0.800559498131675,0.0862173591751328,0.514145026331245,0.00883240909129927
413,0.649197074559202,0.038947379504201,0.505102607502024,0.00414965275553497,0.669569502916941,0.0634803533617153,0.514000955536383,0.0102790159284845,0.797709989956247,0.085345632228187,0.513616631455598,0.00984400121914802,0.650004458645507,0.0396453136174817,0.504842279573262,0.00376590575762263,0.670014159924732,0.064906255989647,0.515122432799475,0.0124815229688767,0.798659043467824,0.0893710706129914,0.514397941981218,0.00849455713832697
